que	ans
Что должно включать в себя название проекта?	Название проекта должно содержать в себе как описательную часть, так и творческую, креативную. Например, краткое описание сути проекта и название-бренд проекта.
Сколько должен длиться проект?	Проект не может длиться более 1 календарного года с момента подписания Приказа об утверждении списка победителей конкурса.
Что нужно указывать в графе “Опыт руководителя”?	В данном поле необходимо указать информацию, которая поможет экспертам конкурса убедиться в том, что руководитель проекта обладает достаточными знаниями, опытом и компетенциями для качественной реализации проекта.
Какую информацию должна содержать видео визитка?	"Видео-визитка должна содержать следующую информацию: сведения о руководителе и команде проекта, масштабе реализации проекта; проблема, которая существовала на момент появления идеи проекта; Каким образом планируется решение выявленной проблемы? Что изменится в обществе/в регионе после реализации проекта? Как грант повлияет на реализацию проекта?"
Какую возрастную категорию должна составлять команда проекта?	Команда проекта - лица в возрасте от 14 до 35 лет(включительно), которые разделяют с руководителем проекта полномочия по подготовке, реализации и отчетности проекта, имеющие достаточно для этого опыта.
Кто такие наставники?	Наставники проекта - те, кто делится опытом и консультирует, работает с руководителем и командой проекта над идеей и концепцией проекта, его организацией, реализацией, будет сопровождать проект на всех этапах до его завершения.
Зачем нужно добавлять описание проблемы, которой посвящен проект?	Это является причиной появления проекта. Проблему необходимо формулировать, а также приводить актуальные, документальные социологические доказательства ее существования в обществе, использовать аргументы, доказывающие ее актуальность.
Какая основная цель должна быть у проекта?	Основная цель проекта - это ожидаемый главный результат, который будет достигнут, путем реализации комплекса мероприятий, запланированных в рамках проекта, прописанных конкретно, реалистично, достижимо и соответствовать Правилам. У проекта должна быть только одна основная цель!
Что нужно указывать в разделе “География проекта”?	в данном разделе необходимо указать весь перечень субъектов РФ, которые будут охвачены проектом. Например, если проект межрегионального уровня, то нужно выбрать только те регионы России, представители которых будут составлять целевую аудиторию проекта.
Какие должны быть задачи проекта?	Задачи проекта отражают крупные блоки работы по достижению цели проекта. Исполнение задачи является достижением одного из результатов проекта. Задачи проекта имеют показатели - конкретные результаты, достигаемые при выполнении данной задачи.
Что указывается в разделе “Результаты”?	В данном разделе указывается информация о результатах социального проекта, которые предполагается достичь в ходе реализации проекта в количественном и качественном выражении, они являются критериями эффективности проекта.
Что такое социальный эффект проекта?	Все позитивные изменения, которые произойдут в результате реализации проекта: уровень знаний участников проекта, развитие компетенций, популяризация вида деятельности, повышение уровня информированности и вовлеченности и др.
Кто может быть партнерами проекта?	Те, кто не являются частью команды,но на разных этапах проекта оказывают влияние на реализацию проекта. Например, сообщества и некоммерческие организации, заинтересованные в тематике проекта, корпорации и коммерческий сектор, физлица, органы исполнительной власти.
